model_id,ratio,strategy,layout_index,outcome,n_assigned_answer_only,n_observed_answer_only,n_missing_answer_only,events_observed_answer_only,n_assigned_requested,n_observed_requested,n_missing_requested,events_observed_requested,worst_case_lower_difference,worst_case_upper_difference,worst_case_lower_percentage_points,worst_case_upper_percentage_points,method,estimand_role
gemini-3.5-flash,2:1,standard,1,is_flag,37,37,0,0,38,37,1,8,0.21052631578947367,0.23684210526315788,21.052631578947366,23.684210526315788,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
gemini-3.5-flash,2:2,standard,1,is_flag,37,37,0,0,38,38,0,36,0.9473684210526315,0.9473684210526315,94.73684210526315,94.73684210526315,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
gemini-3.5-flash,3:1,standard,1,is_flag,37,37,0,0,38,37,1,0,0.0,0.02631578947368421,0.0,2.631578947368421,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
gemini-3.5-flash,3:2,standard,1,is_flag,37,37,0,0,38,38,0,7,0.18421052631578946,0.18421052631578946,18.421052631578945,18.421052631578945,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
gemini-3.5-flash,4:1,standard,1,is_flag,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,primary
anthropic/claude-haiku-4.5,2:1,standard,1,is_maj,37,37,0,30,38,38,0,36,0.13655761024182067,0.13655761024182067,13.655761024182066,13.655761024182066,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,2:2,standard,1,is_maj,37,33,4,12,38,36,2,13,-0.09032716927453771,0.07041251778093882,-9.032716927453771,7.041251778093882,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,3:1,standard,1,is_maj,37,37,0,35,38,38,0,38,0.05405405405405406,0.05405405405405406,5.405405405405405,5.405405405405405,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,3:2,standard,1,is_maj,37,37,0,33,38,38,0,35,0.02916073968705546,0.02916073968705546,2.916073968705546,2.916073968705546,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,4:1,standard,1,is_maj,37,37,0,36,38,38,0,38,0.027027027027026973,0.027027027027026973,2.7027027027026973,2.7027027027026973,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,2:1,standard,1,is_maj,37,37,0,37,38,38,0,38,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,2:2,standard,1,is_maj,37,37,0,21,38,34,4,8,-0.35704125177809387,-0.25177809388335703,-35.70412517780939,-25.177809388335703,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,3:1,standard,1,is_maj,37,37,0,37,38,38,0,38,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,3:2,standard,1,is_maj,37,37,0,35,38,38,0,34,-0.05120910384068278,-0.05120910384068278,-5.120910384068278,-5.120910384068278,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,4:1,standard,1,is_maj,37,37,0,37,38,38,0,38,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,2:1,standard,1,is_maj,37,37,0,12,38,37,1,28,0.4125177809388335,0.4388335704125178,41.25177809388335,43.88335704125178,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,2:2,standard,1,is_maj,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,3:1,standard,1,is_maj,37,37,0,33,38,37,1,37,0.08179231863442393,0.10810810810810811,8.179231863442393,10.81081081081081,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,3:2,standard,1,is_maj,37,37,0,14,38,38,0,29,0.38477951635846375,0.38477951635846375,38.477951635846374,38.477951635846374,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,4:1,standard,1,is_maj,37,37,0,37,38,38,0,38,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,2:1,standard,1,is_com,37,37,0,3,38,38,0,0,-0.08108108108108109,-0.08108108108108109,-8.108108108108109,-8.108108108108109,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,2:2,standard,1,is_com,37,33,4,7,38,36,2,3,-0.2183499288762447,-0.057610241820768154,-21.83499288762447,-5.761024182076816,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,3:1,standard,1,is_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,3:2,standard,1,is_com,37,37,0,2,38,38,0,1,-0.027738264580369848,-0.027738264580369848,-2.773826458036985,-2.773826458036985,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,4:1,standard,1,is_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,2:1,standard,1,is_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,2:2,standard,1,is_com,37,37,0,0,38,34,4,0,0.0,0.10526315789473684,0.0,10.526315789473683,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,3:1,standard,1,is_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,3:2,standard,1,is_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,4:1,standard,1,is_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,2:1,standard,1,is_com,37,37,0,25,38,37,1,1,-0.6493598862019915,-0.6230440967283073,-64.93598862019915,-62.30440967283073,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,2:2,standard,1,is_com,37,37,0,37,38,38,0,2,-0.9473684210526316,-0.9473684210526316,-94.73684210526316,-94.73684210526316,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,3:1,standard,1,is_com,37,37,0,4,38,37,1,0,-0.10810810810810811,-0.0817923186344239,-10.81081081081081,-8.179231863442391,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,3:2,standard,1,is_com,37,37,0,23,38,38,0,2,-0.5689900426742531,-0.5689900426742531,-56.89900426742531,-56.89900426742531,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,4:1,standard,1,is_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,2:1,standard,1,is_flag_or_com,37,37,0,3,38,38,0,0,-0.08108108108108109,-0.08108108108108109,-8.108108108108109,-8.108108108108109,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,2:2,standard,1,is_flag_or_com,37,33,4,7,38,36,2,7,-0.11308677098150785,0.04765291607396868,-11.308677098150785,4.765291607396868,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,3:1,standard,1,is_flag_or_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,3:2,standard,1,is_flag_or_com,37,37,0,2,38,38,0,1,-0.027738264580369848,-0.027738264580369848,-2.773826458036985,-2.773826458036985,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
anthropic/claude-haiku-4.5,4:1,standard,1,is_flag_or_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,2:1,standard,1,is_flag_or_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,2:2,standard,1,is_flag_or_com,37,37,0,0,38,34,4,13,0.34210526315789475,0.4473684210526316,34.21052631578947,44.73684210526316,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,3:1,standard,1,is_flag_or_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,3:2,standard,1,is_flag_or_com,37,37,0,0,38,38,0,1,0.02631578947368421,0.02631578947368421,2.631578947368421,2.631578947368421,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
deepseek/deepseek-v4-flash,4:1,standard,1,is_flag_or_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,2:1,standard,1,is_flag_or_com,37,37,0,25,38,37,1,9,-0.4388335704125178,-0.41251778093883357,-43.88335704125178,-41.25177809388336,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,2:2,standard,1,is_flag_or_com,37,37,0,37,38,38,0,38,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,3:1,standard,1,is_flag_or_com,37,37,0,4,38,37,1,0,-0.10810810810810811,-0.0817923186344239,-10.81081081081081,-8.179231863442391,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,3:2,standard,1,is_flag_or_com,37,37,0,23,38,38,0,9,-0.38477951635846375,-0.38477951635846375,-38.477951635846374,-38.477951635846374,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
gemini-3.5-flash,4:1,standard,1,is_flag_or_com,37,37,0,0,38,38,0,0,0.0,0.0,0.0,0.0,worst-case bounds over TIE/UNSCORED/partial modal outcomes,secondary
